"Trampling Species Data Matrix - Species Percent Cover Estimates by Site, Transect and Plot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined with D. sitchensis-delete,,,,,,,,,,,,,,,,,NO OBS,,,,,,,,Deleted D. alpinum and combined here,,,,,,,,Bryo sp 9 - R. elongatum is a synonym for Niphotrichum elongatum. Connor says call them all Niphotricum sp - so group racomitrium with Niphotrichum in to single sp,Newly created col,Newly created col,,Added values from Moss 3,,,,,,,Newly created col,,,,,,Newly created col,,,,,,Newly created - Bryo sp. 6 - changed to M lyalli,,,,
This sheet for raw data before resolving species and contains comments and notes; NH updated with CGW moss sample id's (Sept 27),,,,,,,,,,,,,,,,,,,,https://docs.google.com/document/d/1FtDi-7UvKW_FX68b8Dq9BlUk8qLasa10GXESoJib8gM/edit?usp=sharing,,,,,,,,,Non-native sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moss,moss,combine with bare soil,combine with litter,combine with bare rock w soil,combine with litter covered soil,combine with soil,moss,moss,moss,moss,moss,moss,,liverwort,moss,moss,liverwort,moss,moss,moss,moss,moss,moss,moss,moss,,moss,moss,moss,moss,,,,
NH updated with CGW moss sample id's on Sept 27-9 (Jul and Aug collecitons) and will transfer to RawData2,,,,,,,,,,,,,,,,,,,Type,forb,woody deciduous shrub,woody evergreen shrub,woody evergreen shrub,conifer,forb,forb,graminoid,graminoid,grass,woody evergreen shrub,graminoid - sedge,forb,forb,forb,woody evergreen shrub,forb,forb,forb/Lycopod,graminoid-rush,graminoid-rush,conifer,deciduous shrub,graminoid-sedge,forb,forb,forb,forb,forb,woody evergreen shrub,forb,forb,forb,deciduous shrub,forb,graminoid,graminoid,graminoid-sedge,deciduous shrub,woody evergreen,forb,forb,forb,forb/Lycopod,moss/liverwort,moss/liverwort,ground,ground,ground,ground,ground,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,ground,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,graminoid-sedge,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,graminoid-sedge,woody evergreen,forb,forb
"Aug 5, 2025 - T. M. reassessed and reassigned 2024 sample from TM-3 Quadrat 2 as A. capillaris - tentatively classed as Agrostis idahoensis or pallens to A. capillaris",,,,,,,,,,,,,,,,,order,order,Family,Rosaceae,Ericaceae,Ericaceae,Ericaceae,Pinaceae,Asteraceae,Asteraceae,Poaceae,Poaceae,Poaceae,Ericaceae,Cyperaceae,Ranunculaceae,Caprifoliaceae,Fabaceae,Ericaceae,Rosaceae,Asteraceae,Lycopodiaceae,Juncaceae,Juncaceae,Pinaceae,Salicaceae,Cyperaceae,Plantaginaceae,Onagraceae,Orobanchaceae,Ranunculaceae,Asteraceae,Ericaceae,Saxifragaceae,Plantaginaceae,Liliaceae,Salicaceae,Asteraceae,Poaceae,Poaceae,Cyperaceae,Rosaceae,Ericaceae,Asteraceae,Asteraceae,Ranunculaceae,Lycopodiaceae,,,,,,,,Grimmiaceae,Grimmiaceae,Grimmiaceae,Grimmiaceae,Polytrichaceae,Polytrichaceae,,Jungermanniaceae,Dicranaceae,Hylocomiaceae,Jungermanniaceae,Brachytheciaceae,Brachytheciaceae,Aulacomniaceae,Hylocomiaceae,Polytrichaceae,Pottiaceae,Dicranaceae,Ditrichaceae,Cyperaceae,Bartramiaceae,Ditrichaceae,Mielichhoferiaceae,Polytrichaceae,Cyperaceae,Ericaceae,Asteraceae,Saxifragaceae
,Field Data Entry,Plant ID People,,,,This column: Community Type-2022 from transect photos,,This column: Community designations from transect data: https://github.com/ITEX-sites/Garibaldi/blob/main/Trampling_traits/raw_data/Trampling-TRANSECTS_data.csv,,,,,,,,,treat.trans.plot,transect.plot,Species binomial,Luetkea pectinata,Vaccinium ovalifolium,Cassiope mertensiana,Phyllodoce empetriformis,Abies lasiocarpa,Hieracium tristis,Erigeron glacialis,Vahlodea atropurpurea,Poa alpina,Agrostis capillaris.idahoensis,Kalmia microphylla,Carex spectabilis,Caltha leptosepala,Valeriana stichensis,Lupinus arcticus,Phyllodoce glanduliflora,Potentilla flabellifolia,Arnica latifolia,Diphasiastrum alpinum,Juncus drummondii,Luzula piperi,Tsuga mertensiana,Salix barclayi,Carex nigricans,Veronica wormskjoldii,Epilobium anagallidifolium,Castilleja parviflora,Pulsatilla occidentalis,Tonestus lyallii,Gaultheria humifusa,Leptarrhena pyrolifolia,Penstemon procerus,Erythronium grandiflorum,Salix commutata,Antennaria media,Festuca brachyphylla,Danthonia intermedia,Schoenoplectus acutus,Sorbus sitchensis,Vaccinium membranaceum,Antennaria umbrinella,Antennaria rosea,Ranunculus eschscholtzii,Diphasiastrum sitchense,Bryophyta - sp. 1,Bryophyta - sp. 2,bare soil/rock,soil with litter cover,bare soil,litter covered intact soil,rock,Niphotrichum elongatum and ericoides,Niphotrichum pygmaeum,Niphotrichum muticum,Bucklandiella sudetica,Polytrichum spp (mainly commune),Polytricum fomosum,cryptogamic crust,Lophozia ventricosa,Dicranum pallidisetum,Rhytidiopsis robusta,Barbilophozia hatcheri,Sciuro-hypnum oedipodium,Brachythecium spp,Aulacomnium palustre,Rhytidiadelphus squarrosus,Polytrichum piliferum,Streblotrichum convolutum,Dichodontium olympicum,Ceratodon purpureus,Carex hassei,Philonotis Fontana,Ditrichum spp.,Pohlia nutans,Meiotrichum lyallii,Carex nardina,Phyllodoce x intermedia,Solidago multiradiata,Micranthes tolmiei
,,,,,,,,,,,,,,,,,,,,luepec,vacova,casmer,phyemp,abilas,hietri,erigla,vahatr,poaalp,agrcap,kalmic,carspe,callep,valsti,luparc,phygla,potfla,arnlat,dipalp,jundru,luzpip,tsumer,salbar,carnig,verwor,epiana,caspar,pusocc,tonlya,gauhum,leppyr,penpro,erygra,salcom,antmed,fesbra,danint,schacu,sorsit,vacmem,antumb,antros,ranesc,dipsit,bryosp1,bryosp2,,,soil,litter,rock,nipelo,nippyg,nipmut,bucsud,polspp,polfom,crust,lopven,dicpal,rhyrob,barhat,Scioed,braspp,aulpal,rhysqu,polpil,strcon,dicoly,cerpur,carhas,phifon,ditspp,pohnut,meilya,carnar,phyint,solmul,mictol
date,(initials),(initials),notes,treatment,treatcode,community: see Metadata,commun.code - col F - can adjust to accomm col H diffs*,commun,altitude,slope,site,site.name,site.transect,transect.no,quad,transect.code,treat.transplot,,Species code,LUEPEC,VACOVA,CASMER,PHYEMP,ABILAS,HIETRI,ERIGLA,VAHATR,POAALP,AGRCAP,KALMIC,CARSPE,CALLEP,VALSTI,LUPARC,PHYGLA,POTFLA,ARNLAT,DIPALP,JUNDRU,LUZPIP,TSUMER,SALBAR,CARNIG,VERWOR,EPIANA,CASPAR,PUSOCC,TONLYA,GAUHUM,LEPPYR,PENPRO,ERYGRA,SALCOM,ANTMED,FESBRA,DANINT,SCHACU,SORSIT,VACMEM,ANTUMB,ANTROS,RANESC,DIPSIT,Bryosp1,Bryosp2,soil.rock,littercover,soil,litter,rock,NIPELOERI,NIPPYG,NIPMUT,BUCSUD,POLSPP,POLFOM,crypto.crust,LOPVEN,DICPAL,RHYROB,BARHAT,SCIOED,BRASPP,AULPAL,RHYSQU,POLPIL,STRCON,DICOLY,CERPUR,CARHAS,PHIFON,DITSPP,POHNUT,MEILYA,CARNAR,PHYINT,SOLMUL,MICTOL
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,1,TM-1,1,1,,0.5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,2,TM-1,2,2,,0.5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",wrote >95,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,3,TM-1,3,3,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,4,TM-1,4,4,,5,10,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,5,TM-1,5,5,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,6,TM-1,6,6,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",Took sample of V. atropurpurea,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,7,TM-1,7,7,,1,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,8,TM-1,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,9,TM-1,9,9,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,2,1,TM,1.1,1,10,TM-1,10,10,,5,10,,5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,1,TM-2,141,11,,10,20,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",1 seedling ABILAS,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,2,TM-2,142,12,,10,25,10,15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",3 seedling ABILAS,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,3,TM-2,143,13,,10,15,10,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",1 sapling ABILAS,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,4,TM-2,144,14,,5,10,15,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE","1 sapling ABILAS, cryptogammic crust",far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,5,TM-2,145,15,,10,15,25,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE","2 sapling ABILAS, cryptogammic crust",far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,6,TM-2,146,16,,10,20,15,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE","2 sapling ABILAS, cryptogammic crust",far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,7,TM-2,147,17,,5,10,10,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",1 sapling ABILAS,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,8,TM-2,148,18,,5,5,10,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,9,TM-2,149,19,,1,10,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul,ND,"TM, PE",,far,1,phy/vac,PV,phy/cas/vac,1579.9,4,1,TM,1.2,2,10,TM-2,150,20,,5,5,5,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",C. nigricans could also be C. pyrenaica,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,1,TM-3,11,21,,10,,,1,,,,,,,0.5,,,,,,,,,,,,,5,,,,,,,,,,,,,20,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,2,TM-3,12,22,,5,,,,,,,,,10,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,3,TM-3,13,23,,5,,,1,,,,,,10,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,4,TM-3,14,24,,10,0.5,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",big rock,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,5,TM-3,15,25,,30,10,,,,0.5,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",big rock,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,6,TM-3,16,26,,20,5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,7,TM-3,17,27,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,8,TM-3,18,28,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,9,TM-3,19,29,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, TM, ND, PE",probably 90% bare soil,near,0,phy/vac,PV,phy/vac/cas,1581.1,16,1,TM,1.3,3,10,TM-3,20,30,,10,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,TM,"TM, PE",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,1,TM-4,151,31,,5,1,,25,,0.5,1,,,,1,,1,,,,,,,,,,,0.5,,,,,,,,,,,,,10,,,,,,,,1,10,,,,5,,0.5,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,
28-Jul,TM,"TM, PE",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,2,TM-4,152,32,,30,5,,30,,0.5,,,,,1,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,,0.5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,TM,"TM, PE",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,3,TM-4,153,33,,50,10,,15,,0.5,,,,,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.5,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,4,TM-4,154,34,,30,30,,10,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,1,,,,,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND",2 sapling ABILAS,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,5,TM-4,155,35,,45,40,1,5,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,,,,5,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,6,TM-4,156,36,,10,20,40,60,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
28-Jul,ND,"NH, ND",,far,1,phy/vac,PV,phy/vac/cas,1581,8,1,TM,1.4,4,7,TM-4,157,37,,20,35,60,25,,,0.5,0.5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
